prefix,uri,default
bio,http://purl.org/vocab/bio/0.1/,false
crm,http://www.cidoc-crm.org/cidoc-crm/,true
crmarchaeo,http://www.cidoc-crm.org/cidoc-crm/CRMarchaeo/,false
crmdig,http://www.ics.forth.gr/isl/CRMdig/,false
crmgeo,http://www.ics.forth.gr/isl/CRMgeo/,false
crmsci,http://www.ics.forth.gr/isl/CRMsci/,false
dcterms,http://purl.org/dc/terms/,true
dcmitype,http://purl.org/dc/dcmitype/,true
foaf,http://xmlns.com/foaf/0.1/,true
geo,http://www.w3.org/2003/01/geo/wgs84_pos#,true
nm,http://nomisma.org/id/,true
nmo,http://nomisma.org/ontology#,true
org,http://www.w3.org/ns/org#,true
osgeo,http://data.ordnancesurvey.co.uk/ontology/geometry/,false
prov,http://www.w3.org/ns/prov#,false
rdac,http://www.rdaregistry.info/Elements/c/,false
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,true
rdfs,http://www.w3.org/2000/01/rdf-schema#,true
sd,http://www.w3.org/TR/sparql11-service-description/,false
skos,http://www.w3.org/2004/02/skos/core#,true
spatial,http://jena.apache.org/spatial#,false
un,http://www.owl-ontologies.com/Ontology1181490123.owl#,false
void,http://rdfs.org/ns/void#,false
wordnet,http://ontologi.es/WordNet/class/,false
xsd,http://www.w3.org/2001/XMLSchema#,true
